Barcode	Cell ID	Cell Name	WellID	Sample	CompoundNo	CompoundConc	Signal	Modified	Created						
2012-10-24 17:46:33	1437	HCC-1954	P04	BDR	0	0	5368	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P05	BDR	0	0	6600	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P06	BDR	0	0	5108	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P07	BDR	0	0	6760	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P08	BDR	0	0	5776	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P09	BDR	0	0	4296	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P10	BDR	0	0	6972	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P11	BDR	0	0	5212	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P12	BDR	0	0	3576	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P13	BDR	0	0	6668	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P14	BDR	0	0	5212	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P15	BDR	0	0	7920	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P16	BDR	0	0	7468	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P17	BDR	0	0	3772	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P18	BDR	0	0	5824	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P19	BDR	0	0	6624	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P20	BDR	0	0	5716	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P21	BDR	0	0	5888	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P22	BDR	0	0	5204	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P23	BL	0	0	44	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P24	BL	0	0	12	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A01	BDR	0	0	960	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A02	BDR	0	0	1240	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A03	BDR	0	0	1188	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A04	BDR	0	0	1164	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A05	BDR	0	0	1164	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A06	BDR	0	0	1412	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A07	BDR	0	0	1476	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A08	BDR	0	0	956	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A09	BDR	0	0	1740	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A10	BDR	0	0	1180	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A11	BDR	0	0	1668	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A12	BDR	0	0	2160	2012-11-21 17:00:00	2012-11-21 17:00:00						
